dataset,trans_num,cvr_code,pct_cvr,pct_comp,lon,lat
vp_data,2,EAF,0,0,-114.0091483,46.70880628
vp_data,2,EAG,0,0,-114.0091483,46.70880628
vp_data,2,EPF,0.2,0.52,-114.0091483,46.70880628
vp_data,2,EPG,0,0,-114.0091483,46.70880628
vp_data,2,NAF,0,0,-114.0091483,46.70880628
vp_data,2,NAG,0,0,-114.0091483,46.70880628
vp_data,2,NPF,4.6,11.86,-114.0091483,46.70880628
vp_data,2,NPG,34,87.63,-114.0091483,46.70880628
vp_data,3,EAF,5,12.48,-114.0116018,46.66669232
vp_data,3,EAG,2.2,5.49,-114.0116018,46.66669232
vp_data,3,EPF,0,0,-114.0116018,46.66669232
vp_data,3,EPG,0.02,0.05,-114.0116018,46.66669232
vp_data,3,NAF,0.04,0.1,-114.0116018,46.66669232
vp_data,3,NAG,0,0,-114.0116018,46.66669232
vp_data,3,NPF,19.8,49.43,-114.0116018,46.66669232
vp_data,3,NPG,13,32.45,-114.0116018,46.66669232
vp_data,4,EAF,0.28,1.73,-114.0168296,46.70158095
vp_data,4,EAG,6.02,37.25,-114.0168296,46.70158095
vp_data,4,EPF,0.62,3.84,-114.0168296,46.70158095
vp_data,4,EPG,7.6,47.03,-114.0168296,46.70158095
vp_data,4,NAF,0,0,-114.0168296,46.70158095
vp_data,4,NAG,0.04,0.25,-114.0168296,46.70158095
vp_data,4,NPF,0,0,-114.0168296,46.70158095
vp_data,4,NPG,1.6,9.9,-114.0168296,46.70158095
vp_data,5,EAF,0.8,2.72,-114.0106893,46.71493315
vp_data,5,EAG,0.2,0.68,-114.0106893,46.71493315
vp_data,5,EPF,0.2,0.68,-114.0106893,46.71493315
vp_data,5,EPG,11.4,38.78,-114.0106893,46.71493315
vp_data,5,NAF,1.4,4.76,-114.0106893,46.71493315
vp_data,5,NAG,0,0,-114.0106893,46.71493315
vp_data,5,NPF,6.4,21.77,-114.0106893,46.71493315
vp_data,5,NPG,9,30.61,-114.0106893,46.71493315
vp_data,6,EAF,0.55,5.27,-114.010916,46.70356411
vp_data,6,EAG,0.33,3.19,-114.010916,46.70356411
vp_data,6,EPF,0.17,1.6,-114.010916,46.70356411
vp_data,6,EPG,0.02,0.16,-114.010916,46.70356411
vp_data,6,NAF,0.02,0.16,-114.010916,46.70356411
vp_data,6,NAG,0.17,1.6,-114.010916,46.70356411
vp_data,6,NPF,3.85,36.9,-114.010916,46.70356411
vp_data,6,NPG,5.33,51.12,-114.010916,46.70356411
vp_data,7,EAF,4.33,11.73,-114.0101148,46.69794886
